,cod_modelo_color,cod_color_code,des_agrup_color_eng,des_fabric,des_product_category,des_product_type,des_filename,des_product_family
2323,57022882-01,1.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2023_57022882_01.jpg,T-shirt
2324,57032882-99,99.0,GREY,K-CIRCULAR,Tops,Top,2023_57032882_99.jpg,Tops
2325,57023803-99,99.0,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57023803_99.jpg,Dresses
2326,57020462-20,20.0,ORANGE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57020462_20.jpg,Dresses
2327,57050488-88,88.0,PINK,P-PLANA,Tops,Shirt,2023_57050488_88.jpg,Shirt
2328,57013809-05,5.0,WHITE,T-TRICOT,Tops,Sweater,2023_57013809_05.jpg,Sweater
2329,57013807-99,99.0,GREY,T-TRICOT,Tops,Sweater,2023_57013807_99.jpg,Sweater
2330,57064410-09,9.0,WHITE,P-PLANA,Bottoms,Skirt,2023_57064410_09.jpg,Skirts
2331,57056309-99,99.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57056309_99.jpg,Dresses
2332,57065791-76,76.0,RED,P-PLANA,Tops,Top,2023_57065791_76.jpg,Tops
2333,57015795-99,99.0,GREY,T-TRICOT,Tops,Sweater,2023_57015795_99.jpg,Sweater
2334,57075985-99,99.0,GREY,L-PIEL,Outerwear,Jacket,2023_57075985_99.jpg,Jackets
2335,57095985-43,43.0,GREEN,P-PLANA,Tops,Blouse,2023_57095985_43.jpg,Shirt
2336,57041179-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57041179_99.jpg,Dresses
2337,57083817-70,70.0,RED,P-PLANA,Outerwear,Jacket,2023_57083817_70.jpg,Jackets
2338,57055795-70,70.0,RED,K-CIRCULAR,Tops,T-Shirt,2023_57055795_70.jpg,T-shirt
2339,57057725-05,5.0,WHITE,T-TRICOT,Bottoms,Skirt,2023_57057725_05.jpg,Skirts
2340,57007742-37,37.0,BROWN,T-TRICOT,Tops,Sweater,2023_57007742_37.jpg,Sweater
2341,57084434-05,5.0,WHITE,P-PLANA,Outerwear,Jacket,2023_57084434_05.jpg,Jackets
2342,57068267-78,78.0,RED,P-PLANA,Outerwear,Blazer,2023_57068267_78.jpg,Blazers
2344,57075806-43,43.0,GREEN,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57075806_43.jpg,Dresses
2345,57019096-99,99.0,GREY,P-PLANA,Outerwear,Blazer,2023_57019096_99.jpg,Blazers
2347,57057758-05,5.0,WHITE,P-PLANA,Tops,Blouse,2023_57057758_05.jpg,Shirt
2348,53000578-01,1.0,WHITE,J-JEANS,Bottoms,Jeans,2019_53000578_01.jpg,Jeans
2349,53070520-02,2.0,WHITE,P-PLANA,Bottoms,Shorts,2019_53070520_02.jpg,Shorts
2350,53063709-07,7.0,WHITE,L-PIEL,Bottoms,Skirt,2019_53063709_07.jpg,Skirts
2351,53053715-99,99.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53053715_99.jpg,Dresses
2352,53000578-TU,98.00999200639488,GREY,J-JEANS,Bottoms,Jeans,2019_53000578_TU.jpg,Jeans
2353,53045736-09,9.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Jumpsuit,2019_53045736_09.jpg,Jumpsuit
2354,53061093-99,99.0,GREY,K-CIRCULAR,Tops,Bodysuit,2019_53061093_99.jpg,Bodysuits
2355,53033787-92,92.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Boots,2019_53033787_92.jpg,Footwear
2356,53025751-05,5.0,WHITE,T-TRICOT,Tops,Sweater,2019_53025751_05.jpg,Sweater
2357,53000586-07,7.0,WHITE,J-JEANS,Bottoms,Jeans,2019_53000586_07.jpg,Jeans
2358,53113782-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Ring,2019_53113782_OR.jpg,Jewellery
2359,57067881-43,43.0,GREEN,P-PLANA,Outerwear,Coat,2019_57067881_43.jpg,Coats
2360,57064001-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_57064001_TM.jpg,Jeans
2361,57014004-31,31.0,BROWN,P-PLANA,Bottoms,Trousers,2019_57014004_31.jpg,Trousers
2362,57017113-99,99.0,GREY,P-PLANA,Tops,Blouse,2019_57017113_99.jpg,Shirt
2363,47010105-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2023_47010105_99.jpg,Belts and Ties
2364,57000003-02,2.0,WHITE,P-PLANA,Tops,Shirt,2023_57000003_02.jpg,Shirt
2365,47075937-05,5.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Cap,2023_47075937_05.jpg,"Hats, scarves and gloves"
2366,47085944-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Gadget,2023_47085944_OR.jpg,Gadgets
2367,47035870-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2023_47035870_TM.jpg,Jeans
2368,57000166-02,2.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Wallet,2023_57000166_02.jpg,Wallets & cases
2369,57050188-99,99.0,GREY,P-PLANA,Tops,Top,2023_57050188_99.jpg,Tops
2370,57002885-99,99.0,GREY,P-PLANA,Bottoms,Shorts,2023_57002885_99.jpg,Shorts
2371,57074396-65,65.0,PURPLE,P-PLANA,Outerwear,Blazer,2023_57074396_65.jpg,Blazers
2372,57012886-01,1.0,WHITE,K-CIRCULAR,Tops,Top,2023_57012886_01.jpg,Tops
2373,57050477-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Skirt,2023_57050477_TM.jpg,Skirts
2374,57085789-77,77.0,RED,P-PLANA,Bottoms,Trousers,2023_57085789_77.jpg,Trousers
2375,57013817-81,81.0,PINK,P-PLANA,Tops,Blouse,2023_57013817_81.jpg,Shirt
2376,57005795-56,56.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57005795_56.jpg,Dresses
2377,57035974-52,52.0,BLUE,P-PLANA,Tops,Shirt,2023_57035974_52.jpg,Shirt
2378,57053809-08,8.0,WHITE,P-PLANA,Bottoms,Trousers,2023_57053809_08.jpg,Trousers
2379,57076000-09,9.0,WHITE,L-PIEL,Bottoms,Skirt,2023_57076000_09.jpg,Skirts
2380,57095977-49,49.0,GREEN,P-PLANA,Tops,Shirt,2023_57095977_49.jpg,Shirt
2381,57053820-43,43.0,GREEN,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57053820_43.jpg,Dresses
2382,57029101-36,36.0,BROWN,K-CIRCULAR,Tops,T-Shirt,2023_57029101_36.jpg,T-shirt
2383,57059103-57,57.0,BLUE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57059103_57.jpg,Dresses
2384,57856710-99,99.0,GREY,P-PLANA,Outerwear,Outer vest,2023_57856710_99.jpg,Outer Vest
2385,43055769-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_43055769_99.jpg,Footwear
2386,43057021-01,1.0,WHITE,J-JEANS,Bottoms,Jeans,2019_43057021_01.jpg,Jeans
2387,53020610-50,50.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53020610_50.jpg,Bags
2388,53000578-TC,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_53000578_TC.jpg,Jeans
2389,53055708-92,92.0,GREY,P-PLANA,Outerwear,Coat,2019_53055708_92.jpg,Coats
2390,53030751-28,28.0,ORANGE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_53030751_28.jpg,Footwear
2391,53030836-01,1.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_53030836_01.jpg,T-shirt
2392,53043753-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Gloves,2019_53043753_99.jpg,"Hats, scarves and gloves"
2393,53025745-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53025745_99.jpg,Dresses
2394,51001127-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2019_51001127_99.jpg,Trousers
2395,57007587-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Ankle Boots,2019_57007587_99.jpg,Footwear
2396,53000586-70,70.0,RED,J-JEANS,Bottoms,Jeans,2019_53000586_70.jpg,Jeans
2397,57022877-02,2.0,WHITE,P-PLANA,Tops,Shirt,2019_57022877_02.jpg,Shirt
2398,57025924-81,81.0,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57025924_81.jpg,Dresses
2399,57057883-69,69.0,BLUE,P-PLANA,Outerwear,Coat,2019_57057883_69.jpg,Coats
2400,57057686-56,56.0,BLUE,P-PLANA,Bottoms,Trousers,2019_57057686_56.jpg,Trousers
2401,57055940-99,99.0,GREY,P-PLANA,Outerwear,Jacket,2019_57055940_99.jpg,Jackets
2402,57007895-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_57007895_99.jpg,T-shirt
2403,67010056-PL,98.00999200639488,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2020_67010056_PL.jpg,Jewellery
2404,57019089-02,2.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_57019089_02.jpg,T-shirt
2405,47050033-05,5.0,WHITE,P-PLANA,Bottoms,Trousers,2023_47050033_05.jpg,Trousers
2406,47005861-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_47005861_OR.jpg,Jewellery
2407,47078255-01,1.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoulder bag,2023_47078255_01.jpg,Bags
2408,57092510-02,2.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Card holder,2023_57092510_02.jpg,Wallets & cases
2409,57010760-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2023_57010760_99.jpg,Trousers
2410,47099203-05,5.0,WHITE,P-PLANA,Bottoms,Trousers,2023_47099203_05.jpg,Trousers
2411,57040363-01,1.0,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57040363_01.jpg,Dresses
2412,57052887-01,1.0,WHITE,P-PLANA,Tops,Shirt,2023_57052887_01.jpg,Shirt
2413,57013808-02,2.0,WHITE,J-JEANS,Bottoms,Jeans,2023_57013808_02.jpg,Jeans
2414,57081169-05,5.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Hairband,2023_57081169_05.jpg,"Hats, scarves and gloves"
2415,57043816-56,56.0,BLUE,T-TRICOT,Tops,Cardigan,2023_57043816_56.jpg,Cardigans
2416,57035805-95,95.0,GREY,T-TRICOT,Tops,Cardigan,2023_57035805_95.jpg,Cardigans
2417,57085808-56,56.0,BLUE,T-TRICOT,Bottoms,Skirt,2023_57085808_56.jpg,Skirts
2418,57048273-01,1.0,WHITE,T-TRICOT,Tops,Cardigan,2023_57048273_01.jpg,Cardigans
2419,57097744-30,30.0,BROWN,O-POLIPIEL,Bottoms,Trousers,2023_57097744_30.jpg,Trousers
2420,57015815-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2023_57015815_99.jpg,T-shirt
2421,53093022-02,2.0,WHITE,P-PLANA,Tops,Blouse,2019_53093022_02.jpg,Shirt
2422,51090740-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2019_51090740_99.jpg,Trousers
2423,53093033-56,56.0,BLUE,P-PLANA,Tops,Blouse,2019_53093033_56.jpg,Shirt
2424,53095011-70,70.0,RED,L-PIEL,Outerwear,Leather Jacket,2019_53095011_70.jpg,Leather jackets
2425,53060833-37,37.0,BROWN,P-PLANA,Tops,Blouse,2019_53060833_37.jpg,Shirt
2426,53033714-06,6.0,WHITE,T-TRICOT,Bottoms,Skirt,2019_53033714_06.jpg,Skirts
2427,53013756-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Beanie,2019_53013756_99.jpg,"Hats, scarves and gloves"
2428,53083762-57,57.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Kerchief,2019_53083762_57.jpg,"Hats, scarves and gloves"
2429,53033780-70,70.0,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53033780_70.jpg,Dresses
2430,53073783-81,81.0,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Card holder,2019_53073783_81.jpg,Wallets & cases
2431,53095029-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_53095029_99.jpg,Sweater
2432,53065772-76,76.0,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53065772_76.jpg,Dresses
2433,57005506-80,80.0,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Ankle Boots,2019_57005506_80.jpg,Footwear
2434,57015924-52,52.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2019_57015924_52.jpg,Jewellery
2435,57065906-99,99.0,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2019_57065906_99.jpg,Dresses
2436,57084379-78,78.0,RED,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_57084379_78.jpg,Bags
2437,57085909-94,94.0,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2019_57085909_94.jpg,Dresses
2438,57065916-05,5.0,WHITE,T-TRICOT,Tops,Sweater,2019_57065916_05.jpg,Sweater
2439,57047688-BB,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_57047688_BB.jpg,Jeans
2440,57057692-02,2.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_57057692_02.jpg,T-shirt
2441,57037699-17,17.0,YELLOW,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57037699_17.jpg,Dresses
2442,57037895-37,37.0,BROWN,P-PLANA,Bottoms,Trousers,2019_57037895_37.jpg,Trousers
2443,47061508-01,1.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sunglasses,2023_47061508_01.jpg,Glasses
2444,57000002-02,2.0,WHITE,P-PLANA,Tops,Shirt,2023_57000002_02.jpg,Shirt
2445,47087824-09,9.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2023_47087824_09.jpg,Footwear
2446,47064042-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Bracelet,2023_47064042_OR.jpg,Jewellery
2447,47087877-99,99.0,GREY,K-CIRCULAR,Tops,Top,2023_47087877_99.jpg,Tops
2448,57082505-30,30.0,BROWN,K-CIRCULAR,Bottoms,Trousers,2023_57082505_30.jpg,Trousers
2449,57000180-01,1.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoulder bag,2023_57000180_01.jpg,Bags
2450,57040171-02,2.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Wallet,2023_57040171_02.jpg,Wallets & cases
2451,57022878-TU,98.00999200639488,GREY,J-JEANS,Bottoms,Shorts,2023_57022878_TU.jpg,Shorts
2452,57050212-43,43.0,GREEN,P-PLANA,"Dresses, jumpsuits and Complete set",Jumpsuit,2023_57050212_43.jpg,Jumpsuit
2453,57095785-56,56.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Gloves,2023_57095785_56.jpg,"Hats, scarves and gloves"
2454,57010467-52,52.0,BLUE,K-CIRCULAR,Tops,T-Shirt,2023_57010467_52.jpg,T-shirt
2455,57000365-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2023_57000365_99.jpg,Trousers
2456,57000438-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_57000438_OR.jpg,Jewellery
2457,57040454-81,81.0,PINK,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57040454_81.jpg,Dresses
2458,57040457-21,21.0,ORANGE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57040457_21.jpg,Dresses
2459,57041086-88,88.0,PINK,K-CIRCULAR,Tops,Top,2023_57041086_88.jpg,Tops
2461,57014044-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2023_57014044_OR.jpg,Jewellery
2462,57085987-99,99.0,GREY,L-PIEL,Outerwear,Trenchcoat,2023_57085987_99.jpg,Trenchcoats
2463,57031169-08,8.0,WHITE,K-CIRCULAR,Tops,Top,2023_57031169_08.jpg,Tops
2464,57026013-31,31.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Boots,2023_57026013_31.jpg,Footwear
2465,57065806-52,52.0,BLUE,P-PLANA,Tops,Shirt,2023_57065806_52.jpg,Shirt
2466,57021176-37,37.0,BROWN,P-PLANA,Bottoms,Trousers,2023_57021176_37.jpg,Trousers
2467,57007912-05,5.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2023_57007912_05.jpg,T-shirt
2468,57007764-99,99.0,GREY,T-TRICOT,Tops,Sweater,2023_57007764_99.jpg,Sweater
2469,41029069-83,83.0,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_41029069_83.jpg,Dresses
2470,51040592-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_51040592_99.jpg,Dresses
2471,53060602-01,1.0,WHITE,J-JEANS,Bottoms,Skirt,2019_53060602_01.jpg,Skirts
2472,53070671-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_53070671_TM.jpg,Jeans
2473,51093028-08,8.0,WHITE,P-PLANA,Bottoms,Skirt,2019_51093028_08.jpg,Skirts
2474,53083711-95,95.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53083711_95.jpg,Dresses
2475,53090886-76,76.0,RED,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53090886_76.jpg,Dresses
2476,53003723-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_53003723_99.jpg,Sweater
2477,53073748-09,9.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Scarf,2019_53073748_09.jpg,"Hats, scarves and gloves"
2478,53033761-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53033761_99.jpg,Bags
2479,53038815-02,2.0,WHITE,P-PLANA,Outerwear,Puffer coat,2019_53038815_02.jpg,Puffer coats
2480,57014382-05,5.0,WHITE,K-CIRCULAR,Tops,Sweatshirt,2019_57014382_05.jpg,Sweatshirts
2481,57004756-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_57004756_99.jpg,Sweater
2482,57025936-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_57025936_99.jpg,T-shirt
2483,57065936-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2019_57065936_99.jpg,Trousers
2484,57067108-08,8.0,WHITE,P-PLANA,Outerwear,Trenchcoat,2019_57067108_08.jpg,Trenchcoats
2485,47022523-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2023_47022523_OR.jpg,Jewellery
2486,57050068-20,20.0,ORANGE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoulder bag,2023_57050068_20.jpg,Bags
2487,57040360-01,1.0,WHITE,J-JEANS,Bottoms,Jeans,2023_57040360_01.jpg,Jeans
2488,57020406-52,52.0,BLUE,J-JEANS,Bottoms,Skirt,2023_57020406_52.jpg,Skirts
2489,57052883-43,43.0,GREEN,P-PLANA,Bottoms,Trousers,2023_57052883_43.jpg,Trousers
2490,57030450-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2023_57030450_08.jpg,Bags
2491,57094018-01,1.0,WHITE,P-PLANA,Bottoms,Trousers,2023_57094018_01.jpg,Trousers
2492,57064409-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57064409_99.jpg,Dresses
2493,57094024-30,30.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2023_57094024_30.jpg,Belts and Ties
2494,57084414-35,35.0,BROWN,K-CIRCULAR,Tops,Bodysuit,2023_57084414_35.jpg,Bodysuits
2496,57004780-PL,98.00999200639488,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Crossbody bag,2023_57004780_PL.jpg,Bags
2497,57065793-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2023_57065793_09.jpg,Sweater
2498,57087708-02,2.0,WHITE,P-PLANA,Outerwear,Puffer coat,2023_57087708_02.jpg,Puffer coats
2499,57027719-43,43.0,GREEN,P-PLANA,Bottoms,Trousers,2023_57027719_43.jpg,Trousers
2500,57087723-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Ankle Boots,2023_57087723_99.jpg,Footwear
2502,57047741-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Beanie,2023_57047741_08.jpg,"Hats, scarves and gloves"
2503,57088634-36,36.0,BROWN,K-CIRCULAR,Tops,Top,2023_57088634_36.jpg,Tops
2504,57029105-PL,98.00999200639488,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57029105_PL.jpg,Dresses
2505,57089099-05,5.0,WHITE,T-TRICOT,Tops,Cardigan,2023_57089099_05.jpg,Cardigans
2506,57059103-88,88.0,PINK,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57059103_88.jpg,Dresses
2507,57077755-70,70.0,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57077755_70.jpg,Dresses
2508,57007778-CO,33.33863275039746,BROWN,T-TRICOT,Tops,Sweater,2023_57007778_CO.jpg,Sweater
2509,57029120-99,99.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57029120_99.jpg,Dresses
2510,53050624-45,45.0,GREEN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53050624_45.jpg,Bags
2511,51090637-99,99.0,GREY,K-CIRCULAR,Tops,Top,2019_51090637_99.jpg,Tops
2512,53060547-52,52.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53060547_52.jpg,Bags
2513,51050641-02,2.0,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Jumpsuit,2019_51050641_02.jpg,Jumpsuit
2514,53020753-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2019_53020753_08.jpg,Footwear
2515,53000874-02,2.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_53000874_02.jpg,T-shirt
2516,53010872-56,56.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53010872_56.jpg,Dresses
2517,53090906-02,2.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Jumpsuit,2019_53090906_02.jpg,Jumpsuit
2518,53055711-17,17.0,YELLOW,T-TRICOT,Tops,Sweater,2019_53055711_17.jpg,Sweater
2519,53010992-20,20.0,ORANGE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2019_53010992_20.jpg,Dresses
2520,53003764-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2019_53003764_OR.jpg,Jewellery
2521,53051096-11,11.0,YELLOW,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Swimsuit,2019_53051096_11.jpg,Swimwear
2522,53087684-32,32.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Boots,2019_53087684_32.jpg,Footwear
2523,53055769-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_53055769_99.jpg,T-shirt
2524,57005129-OR,4.400709219858156,WHITE,T-TRICOT,Tops,Top,2019_57005129_OR.jpg,Tops
2525,57007693-91,91.0,GREY,T-TRICOT,Tops,Sweater,2019_57007693_91.jpg,Sweater
2526,57035785-06,6.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_57035785_06.jpg,T-shirt
2527,57006307-78,78.0,RED,K-CIRCULAR,Tops,T-Shirt,2019_57006307_78.jpg,T-shirt
2528,57045941-43,43.0,GREEN,K-CIRCULAR,Tops,T-Shirt,2019_57045941_43.jpg,T-shirt
2529,67010080-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2020_67010080_OR.jpg,Jewellery
2530,47050031-99,99.0,GREY,P-PLANA,Outerwear,Blazer,2023_47050031_99.jpg,Blazers
2531,47050085-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Glasses,2023_47050085_99.jpg,Glasses
2532,47001037-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Glasses,2023_47001037_99.jpg,Glasses
2533,47022522-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_47022522_OR.jpg,Jewellery
2534,47002531-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_47002531_OR.jpg,Jewellery
2535,47014024-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_47014024_OR.jpg,Jewellery
2536,57090026-88,88.0,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Umbrella,2023_57090026_88.jpg,Gadgets
2537,57040156-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Totes bag,2023_57040156_99.jpg,Bags
2538,57010200-43,43.0,GREEN,P-PLANA,Bottoms,Trousers,2023_57010200_43.jpg,Trousers
2539,47015882-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2023_47015882_TM.jpg,Jeans
2540,57055950-99,99.0,GREY,P-PLANA,Outerwear,Puffer coat,2023_57055950_99.jpg,Puffer coats
2541,57030260-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Case,2023_57030260_99.jpg,Wallets & cases
2542,47038643-02,2.0,WHITE,P-PLANA,Bottoms,Shorts,2023_47038643_02.jpg,Shorts
2543,47098643-01,1.0,WHITE,P-PLANA,Outerwear,Vest,2023_47098643_01.jpg,Vest
2544,57032889-46,46.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57032889_46.jpg,Dresses
2545,57012530-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_57012530_OR.jpg,Jewellery
2546,57002539-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_57002539_OR.jpg,Jewellery
2547,57062888-52,52.0,BLUE,P-PLANA,Tops,Shirt,2023_57062888_52.jpg,Shirt
2548,57064406-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2023_57064406_09.jpg,Sweater
2549,57096712-52,52.0,BLUE,K-CIRCULAR,Tops,Sweatshirt,2023_57096712_52.jpg,Sweatshirts
2550,57083807-43,43.0,GREEN,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57083807_43.jpg,Dresses
2551,57035991-09,9.0,WHITE,P-PLANA,Outerwear,Coat,2023_57035991_09.jpg,Coats
2552,57005808-83,83.0,PINK,T-TRICOT,Tops,Sweater,2023_57005808_83.jpg,Sweater
2553,57073820-15,15.0,YELLOW,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57073820_15.jpg,Dresses
2554,57047120-05,5.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Beanie,2023_57047120_05.jpg,"Hats, scarves and gloves"
2555,57058276-PL,98.00999200639488,GREY,J-JEANS,Bottoms,Jeans,2023_57058276_PL.jpg,Jeans
